Nama Tempat Makan,Longitude,Latitude,Deskripsi Resto,Peng-input
Soto Rawon & Pecel Madiun Mergoroso,110.333645,-7.8032445,Warung makan khas Madiun yang terkenal dengan sajian soto rawon yang kaya rempah dan pecel dengan bumbu kacang yang lezat. Cocok bagi pencinta kuliner Jawa Timur.,Darren
Bakso Remaja Kartopuran,110.7246122,-7.5514534,"Tempat makan yang menyajikan bakso dengan cita rasa khas, terkenal dengan bakso daging sapi yang kenyal dan kuah kaldu yang gurih. Tempat ini menjadi favorit keluarga untuk menikmati hidangan bakso.",
Bakso Urat Lor Patung Kuda,110.7246122,-7.5514534,Warung bakso yang menyajikan bakso urat dengan tekstur kenyal dan cita rasa daging yang kuat. Tempat ini populer di kalangan pencinta bakso urat dengan porsi besar.,
Es Campur Pak Kutir,110.7246117,-7.5514225,"Kedai es campur yang menyajikan es dengan campuran buah segar, sirup, dan santan. Menjadi pelepas dahaga favorit dengan cita rasa manis dan segar, terutama saat cuaca panas.",
Kopi Parang,110.7246115,-7.5514071,Kedai kopi dengan suasana santai yang menyajikan kopi robusta khas Indonesia. Tempat ini menjadi favorit para pencinta kopi lokal yang ingin menikmati secangkir kopi dengan suasana nyaman.,
"Sate Klathak dan Bakmi Jowo Pak Jede, Nologaten",110.333645,-7.8032445,"Warung sate yang terkenal dengan sate klathak, daging kambing muda yang dipanggang menggunakan jeruji besi. Selain itu, juga menyajikan bakmi jowo yang nikmat dengan bumbu tradisional.",
Gudeg Ceker Margoyudan Bu Kasno,110.7246112,-7.5513916,"Warung legendaris yang terkenal dengan gudeg ceker, hidangan khas Yogyakarta yang menggunakan bahan utama nangka muda dan ceker ayam empuk. Cita rasanya manis dan gurih, menjadi favorit para pecinta gudeg.",
Gudeg Javenir,110.6162559,-7.5425979,"Toko gudeg yang menyediakan gudeg kering dan basah dengan cita rasa khas. Cocok sebagai oleh-oleh dari Yogyakarta, Gudeg Javenir mempertahankan rasa autentik yang diwariskan turun-temurun.",
Balong Bakpia Solo (Bakpia Rejeki),110.6162556,-7.5425825,Toko bakpia yang menawarkan bakpia dengan kulit tipis dan isian yang lembut. Menjadi favorit bagi wisatawan yang mencari oleh-oleh khas Solo dengan cita rasa manis yang lembut.,
Sate klathak pak AG khas jejeran,109.7857031,-7.658441,"Warung sate klathak yang terkenal dengan bumbu sederhana namun menghasilkan rasa yang kaya dan nikmat. Daging kambingnya empuk dan lezat, membuat tempat ini ramai dikunjungi pecinta sate.",
